对象,遗传/功能角色,分子证据状态,育种应用成熟度,效应量状态,适用范围与主要限制,关键PMID
Bph14,克隆的核心抗性基因,图位克隆并具有直接抗性证据,高：已有功能标记和导入/聚合应用,当前句证未给出可跨研究比较的统一效应量,不同遗传背景和飞虱种群下的持久性仍需独立评价,20018701;21254325;24273431
Bph3,核心抗性位点/受体激酶基因簇,证据支持OsLecRK1-OsLecRK3协同并具有广谱抗性,高：已有标记辅助导入和多背景应用,当前句证未给出统一效应量,文献中Bph3/Bph17命名及位点边界需在具体材料中核验,31086482;37752622;38625904
Bph6,克隆的核心抗性基因,图位克隆并编码外泌体定位蛋白,高：广谱飞虱抗性且已有聚合育种记录,当前句证未给出统一效应量,抗性输出涉及分泌运输和多条下游通路，环境稳定性需田间验证,29358653;35119102
Bph9及其等位基因簇,克隆的核心抗性基因/复等位位点,NLR等位多样性与抗虫谱具有直接证据,高：已有功能标记和聚合育种,当前句证未给出统一效应量,不同等位基因、生物型和气候条件下的抗性并不等价,16553215;27791169;29282566;38015011
Bph18/BPH26,核心抗性基因及同一染色体区段的等位资源,两个供体来源均有图位克隆或高分辨率定位证据,高：已有MAS和近等基因系应用,当前句证未给出统一效应量,需要避免把同区段等位资源当成完全独立的可加性基因,16240104;25076167;27682162
BPH29,克隆的隐性核心抗性基因,图位克隆并编码B3结构域蛋白,中高：具有抗源和聚合价值,当前句证未给出统一效应量,隐性遗传和表达特征增加育种设计复杂度,26136269
Bph32,克隆的核心抗性基因,编码SCR结构域蛋白并具有转基因/抗生性证据,中高：已用于近等基因系和聚合材料,当前句证未给出统一效应量,抗性谱和不同背景稳定性仍需系统比较,27876888;31726710;38106508
Bph30,克隆的结构屏障型核心抗性基因,直接阻止口针到达韧皮部并强化厚壁组织,中高：机制明确且具广谱潜力,当前句证未给出统一效应量,需评估组织强化对生长、运输和产量的长期代价,34246801;36952539
Bph15,核心抗性位点/候选基因区域,BAC与RNA测序及近等基因系支持但分子机制尚未完全闭合,高：已有导入、聚合和杂交稻应用,当前句证未给出统一效应量,不应把育种应用成熟度等同于分子机制已经完全解析,15549231;21254325;25109872;27704482;38023936
OsMYB30-OsPAL6/OsPAL8,功能验证的下游调控与执行模块,敲低和过表达支持苯丙烷/木质素通路参与抗性,中：可作为增强或标记模块,未证明是决定遗传抗性的主效位点,主要解释抗性如何执行，不能替代核心抗性基因的育种地位,31848246
OsmiR396-OsGRF8-OsF3H,功能验证的代谢调控模块,遗传操作和代谢证据支持黄酮通路参与抗性,中：具分子设计潜力,未证明是决定遗传抗性的主效位点,应评估对发育和其他性状的多效性,30734457
OsMKK3,功能验证的信号调控因子,过表达和激素测定支持JA/JA-Ile/ABA依赖的抗性增强,中低：以机制验证为主,单研究中昆虫存活变化不能替代田间遗传效应量,需在主效抗性背景和多环境中验证增益,31226870
OsNCED3,功能验证的ABA生物合成调控因子,转录组、过表达和RNAi证据支持正向抗性作用,中：连续研究支持但育种验证有限,未证明为主效位点,ABA相关生长和环境响应多效性需要量化,36064309;38988632
OsPep3-OsPEPRs,功能验证的内源肽免疫模块,外源肽处理和受体遗传证据支持抗性,中低：适合机制与诱抗研究,未证明为主效位点,外源处理效果与稳定遗传改良不能直接等同,35068048
OsWRKY71,主效位点下游的背景依赖调控因子,敲除削弱Bph15介导抗性,中低：适合作为Bph15通路标记或修饰因子,未证明为独立主效抗性基因,作用依赖Bph15遗传背景，不能脱离背景排序,38023936
OsmiR319-OsPCF5,功能验证的转录调控模块,遗传操作和MYB/苯丙烷关联支持抗性作用,中低：机制明确但田间数据有限,未证明为主效位点,需要评估发育多效性和不同核心抗性背景中的增益,38520013
OsGF14e-OsEDR1l,昆虫效应子利用的宿主免疫抑制模块,过表达和敲除支持负调控作用,低至中：为精准编辑提供靶点但风险高,抗性增强伴随生长和产量损失,属于高价值机制靶点而非现成育种基因,39853648
OsWRKY36,功能验证的广谱负调控因子,CRISPR敲除增强BPH/WBPH/SBPH及病害抗性并报告产量稳定,中：具有较高转化潜力但证据集中于单项研究,尚缺跨背景和多点田间效应量,需独立重复并排除环境或背景依赖,40042898
OM64,功能验证的负调控因子,大规模突变体筛选及缺失材料支持抗性增强,中低：可作为编辑候选,未证明为主效自然抗性位点,需要系统评估线粒体功能和产量代价,32542992
OsEXPA10,生长-防御权衡调控因子,过表达促生长但增感，敲低增抗但降低株高和粒型,低：不宜直接作为简单敲除靶点,抗性与农艺代价方向相反,适合等位或组织特异调控而非完全失活,29619515
OsI-BAK1,功能验证的负调控受体样蛋白,沉默增强抗性并改变乙烯和WRKY响应,低至中：编辑候选但田间验证不足,未证明为主效自然抗性位点,需评估免疫和发育网络中的旁效应,34830062
OsRLK7-1,功能验证的负调控受体激酶,CRISPR敲除增强BPH/WBPH抗性但损害生长发育,低：存在明确应用代价,抗性增益不能脱离生长损失评价,更适合启动子或弱等位基因设计,37834016
