journal,unique_PMIDs
International journal of molecular sciences,82
Frontiers in plant science,76
Scientific reports,61
PloS one,47
"Rice (New York, N.Y.)",41
Insects,41
"Plants (Basel, Switzerland)",27
TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,23
Frontiers in physiology,23
Pest management science,20
BMC genomics,20
Plant biotechnology journal,18
BMC plant biology,14
Genes,11
Viruses,11
Proceedings of the National Academy of Sciences of the United States of America,10
Breeding science,10
The Plant journal : for cell and molecular biology,10
PLoS pathogens,10
Frontiers in microbiology,9
Virology journal,9
Biology,8
Journal of experimental botany,8
The New phytologist,7
Insect biochemistry and molecular biology,7
Pesticide biochemistry and physiology,7
Frontiers in genetics,7
Journal of insect science (Online),7
Ying yong sheng tai xue bao = The journal of applied ecology,7
Nature communications,6
Insect science,6
Plant cell reports,5
PeerJ,5
Plant physiology,5
Journal of plant physiology,5
eLife,5
Hereditas,5
Journal of virology,5
Gene,5
Cells,4
Plant communications,4
"Plant, cell & environment",4
Planta,4
The Plant cell,4
PLoS genetics,4
Molecular plant,4
International journal of biological macromolecules,4
Journal of integrative plant biology,4
"Molecules (Basel, Switzerland)",4
"Crop protection (Guildford, Surrey)",4
Journal of insect physiology,4
Insect molecular biology,4
Molecular genetics and genomics : MGG,4
Journal of advanced research,3
Journal of agricultural and food chemistry,3
Heliyon,3
Journal of economic entomology,3
Environmental science and pollution research international,3
Ecology and evolution,3
Molecular plant-microbe interactions : MPMI,3
Open biology,3
Molecules and cells,3
Virology,3
Molecular plant pathology,3
BMC biology,2
Molecular breeding : new strategies in plant improvement,2
Molecular biology reports,2
Current biology : CB,2
Current issues in molecular biology,2
Current genomics,2
Plant science : an international journal of experimental plant biology,2
Plant signaling & behavior,2
Botanical studies,2
iScience,2
The plant pathology journal,2
Frontiers in insect science,2
"Antioxidants (Basel, Switzerland)",2
Plant methods,2
Metabolomics : Official journal of the Metabolomic Society,2
"G3 (Bethesda, Md.)",2
BMC biotechnology,2
Genome biology and evolution,2
Archives of insect biochemistry and physiology,2
Genome biology,2
Plant molecular biology,2
Yi chuan xue bao = Acta genetica Sinica,2
Biomolecules,2
Frontiers in immunology,2
Advanced biotechnology,1
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",1
Journal of pesticide science,1
"Foods (Basel, Switzerland)",1
Unknown,1
Data in brief,1
Nature,1
Methods and protocols,1
"Bioengineering (Basel, Switzerland)",1
Frontiers in molecular neuroscience,1
Journal of cellular physiology,1
Genome,1
Animals : an open access journal from MDPI,1
Biosensors & bioelectronics,1
Frontiers in bioengineering and biotechnology,1
Current opinion in insect science,1
Proteome science,1
Science advances,1
Archives of microbiology,1
Journal of nanobiotechnology,1
Journal of proteomics,1
Genomics,1
Journal of plant biology = Singmul Hakhoe chi,1
Vaccines,1
Nutrients,1
Biochemical genetics,1
Functional ecology,1
National science review,1
Chemosphere,1
Frontiers in cellular and infection microbiology,1
BMC microbiology,1
Euphytica: Netherlands journal of plant breeding,1
"Sensors (Basel, Switzerland)",1
Life science alliance,1
Nature ecology & evolution,1
Journal of biomolecular structure & dynamics,1
Journal of molecular graphics & modelling,1
Journal of genetics,1
Plant diversity,1
Field crops research,1
Nature genetics,1
Plant molecular biology reporter,1
Journal of ethnobiology and ethnomedicine,1
"Genomics, proteomics & bioinformatics",1
Journal of pest science,1
"Agronomy (Basel, Switzerland)",1
Journal of chemical ecology,1
BioMed research international,1
ChemistryOpen,1
"Proceedings of the National Academy of Sciences, India. Section B",1
Neotropical entomology,1
Environmental entomology,1
"Biotechnology, biotechnological equipment",1
International journal of biological sciences,1
Proceedings. Biological sciences,1
International journal of insect science,1
Molecular ecology,1
TheScientificWorldJournal,1
Transgenic research,1
DNA research : an international journal for rapid publication of reports on genes and genomes,1
Emerging health threats journal,1
BMC molecular biology,1
Journal of proteome research,1
Molecular biotechnology,1
Proteomics,1
Communications in agricultural and applied biological sciences,1
Sheng wu gong cheng xue bao = Chinese journal of biotechnology,1
Zhi wu sheng li yu fen zi sheng wu xue xue bao = Journal of plant physiology and molecular biology,1
Journal of nematology,1
"Comparative biochemistry and physiology. Part D, Genomics & proteomics",1
The EMBO journal,1
Nature food,1
Biodesign research,1
Microorganisms,1
NanoImpact,1
Horticulture research,1
Virus research,1
mBio,1
Plant direct,1
Microbiome,1
Toxins,1
Journal of basic microbiology,1
Genomics data,1
International journal of plant genomics,1
Bulletin of entomological research,1
Heredity,1
Microbial genomics,1
"Journal of fungi (Basel, Switzerland)",1
Glycoconjugate journal,1
Saudi journal of biological sciences,1
Genetics and molecular biology,1
